expenses,cost,Date,Type,Wants / Needs
garlic,34.0,31/01/2025,Food,Want
oyster sauce x2,14.0,31/01/2025,Food,Want
magic sarap 16x8g,65.0,31/01/2025,Food,Want
baguio beans,14.0,31/01/2025,Food,Want
water,50.0,31/01/2025,Food,Need
ecobag,5.0,31/01/2025,Other,Want
mcc blkppr29,93.0,31/01/2025,Other,Want
chili?,42.0,31/01/2025,Food,Want
funnel,8.0,31/01/2025,Food,Want
onions,23.0,31/01/2025,Food,Want
4 potatoes,59.0,31/01/2025,Food,Want
jeep,11.0,31/01/2025,Transpo,Want
tupperware med,70.0,31/01/2025,Other,Want
tofu,60.0,31/01/2025,Food,Want
tupperware small,35.0,31/01/2025,Other,Want
900 ml container x2,178.0,28/01/2025,Other,Want
youtube premium,189.0,28/01/2025,Bill,Want
nagaraya 160g,44.0,28/01/2025,Snack,Want
piattos sour cream 85g,32.0,28/01/2025,Snack,Want
3pc nursery wipes 30s,104.0,28/01/2025,Hygiene,Want
2500ml container,286.0,28/01/2025,Other,Need
rent,7000.0,27/01/2025,Bill,Need
lunch,70.0,27/01/2025,Food,Need
takeout,170.0,27/01/2025,Food,Need
groceries,360.0,27/01/2025,Food,Need
jeep,11.0,27/01/2025,Transpo,Want
jeep,11.0,24/01/2025,Transpo,Want
1pcs gulay 1pcs pork steak,170.0,24/01/2025,Food,Need
jeep,11.0,24/01/2025,Transpo,Want
bananas + oranges,440.0,24/01/2025,Snack,Want
okra,14.0,22/01/2025,Food,Need
scissors ,169.0,22/01/2025,Other,Want
plastic twine,99.0,22/01/2025,Other,Want
water,50.0,22/01/2025,Food,Need
3x sisters overnight pads 1x pantyliners,79.0,22/01/2025,Hygiene,Need
egg 12s,125.0,22/01/2025,Food,Need
shawarma,50.0,19/01/2025,Food,Want
jeep,13.0,19/01/2025,Transpo,Want
bread,50.0,19/01/2025,Food,Need
laundry,250.0,18/01/2025,Hygiene,Need
jeep,11.0,16/01/2025,Transpo,Want
trashbags xxl large 10s,120.0,16/01/2025,Hygiene,Want
dumplings kapon,1500.0,16/01/2025,Other,Want
bathroom,8.0,16/01/2025,Hygiene,Need
mitra palm oil 485ml,70.0,16/01/2025,Food,Want
dinner x4,160.0,16/01/2025,Food,Need
nestle bearbrand 300g,109.0,16/01/2025,Food,Want
milo 150g,49.0,16/01/2025,Food,Want
shawarma,80.0,16/01/2025,Food,Want
dari creme butter 100g,36.0,16/01/2025,Food,Want
chupa chips strawberry milk,45.0,15/01/2025,Snack,Want
rice 1kg,62.0,14/01/2025,Food,Need
perm marker ,19.0,14/01/2025,Other,Want
broccoli takeout,70.0,14/01/2025,Food,Need
lunch,70.0,14/01/2025,Food,Need
2 meals,70.0,14/01/2025,Food,Need
load,300.0,12/01/2025,Bill,Need
bus,316.0,12/01/2025,Transpo,Need
water jug,159.0,11/01/2025,Other,Need
water pump,99.0,11/01/2025,Other,Want
water refill,50.0,11/01/2025,Food,Need
lunch,70.0,10/01/2025,Food,Need
1x broccoli 1x chicken curry,170.0,10/01/2025,Food,Need
nissin ramen chicken x2,20.0,09/01/2025,Food,Want
table napkins 2+1,58.0,09/01/2025,Hygiene,Want
quaker instant oats 200g banana,52.0,09/01/2025,Food,Want
selecta fresh milk 1l,92.0,09/01/2025,Food,Want
quaker instant oats 200g foil,40.0,09/01/2025,Food,Want
bacon spread 80ml,35.0,09/01/2025,Snack,Want
water gallon refill,30.0,09/01/2025,Food,Need
tuna spread 80ml,35.0,09/01/2025,Snack,Want
ketchup 320g,29.0,09/01/2025,Food,Want
b1t1 shampoo 200ml,114.0,09/01/2025,Hygiene,Want
bread loaf,48.0,09/01/2025,Food,Need
12 eggs,125.0,09/01/2025,Food,Need
close up toothpaste 2x,119.0,09/01/2025,Hygiene,Want
ladys choice peanut butter 340,179.0,09/01/2025,Snack,Want
nissin ramen seafood x2,27.0,09/01/2025,Food,Want
okra,19.0,09/01/2025,Food,Need
water 5l,105.0,09/01/2025,Food,Need
mayonnaise 80ml,32.0,09/01/2025,Snack,Want
bol > baguio fare,316.0,08/01/2025,Transpo,Need
bread,100.0,08/01/2025,Food,Want
food,95.0,08/01/2025,Food,Need
bgh to town,11.0,08/12/2024,Transpo,Want
town to bgh,11.0,08/12/2024,Transpo,Want
shawarma,80.0,08/12/2024,Food,Want
id lace and hair clip,60.0,08/12/2024,Other,Want
mountain dew,25.0,07/12/2024,Snack,Want
water 7l,100.0,07/12/2024,Food,Need
laundry,250.0,07/12/2024,Hygiene,Need
pvfr > plaza,11.0,07/12/2024,Transpo,Want
chips,35.0,07/12/2024,Snack,Want
sunday instax + charm,130.0,07/12/2024,Fun,Want
biryani that sucked,180.0,07/12/2024,Food,Need
cat keychain,100.0,07/12/2024,Fun,Want
plaza > bgh,11.0,07/12/2024,Transpo,Want
2x eggs,24.0,07/12/2024,Food,Want
niigo pin,60.0,07/12/2024,Fun,Want
shawarma,50.0,07/12/2024,Snack,Want
voting for miku lol,5.0,07/12/2024,Fun,Want
id case + carabiner,45.0,07/12/2024,Fun,Want
stickers,100.0,07/12/2024,Fun,Want
bgh > pvfr,11.0,07/12/2024,Transpo,Want
shawarma,60.0,04/12/2024,Snack,Want
piattos sour cream large,32.0,04/12/2024,Snack,Want
bread,48.0,04/12/2024,Food,Need
nagaraya 80g,22.0,04/12/2024,Snack,Want
4x meal,140.0,04/12/2024,Food,Need
nail clipper,49.0,04/12/2024,Hygiene,Need
fish fillet,40.0,03/12/2024,Food,Need
ytp,199.0,03/12/2024,Bill,Need
google,89.0,01/12/2024,Bill,Need
4x meals,120.0,30/11/2024,Food,Need
rice,47.0,30/11/2024,Food,Need
shawarma,60.0,30/11/2024,Food,Need
sticker,30.0,30/11/2024,Other,Want
jeep,11.0,30/11/2024,Transpo,Want
energen,42.0,30/11/2024,Food,Need
rent,7000.0,29/11/2024,Bill,Need
laundry,250.0,28/11/2024,Hygiene,Need
lunch ,60.0,28/11/2024,Food,Need
lunch,90.0,27/11/2024,Food,Need
1pc chicken,75.0,26/11/2024,Food,Need
water refill x2,47.0,26/11/2024,Food,Need
shawarma rice,80.0,24/11/2024,Food,Need
plastic bag,40.0,24/11/2024,Other,Want
tape,10.0,24/11/2024,Other,Want
id holder x2,20.0,24/11/2024,Other,Want
id lace,25.0,24/11/2024,Other,Want
closet organizer,80.0,24/11/2024,Other,Want
budget meal w/o rice,60.0,24/11/2024,Food,Need
cutting board,70.0,24/11/2024,Food,Want
cabbage x1,30.0,23/11/2024,Food,Need
tomatoes and calamansi,30.0,23/11/2024,Food,Want
barbecue,30.0,23/11/2024,Food,Want
lunch,90.0,21/11/2024,Food,Need
dinner,100.0,21/11/2024,Food,Need
1kg rice,64.0,20/11/2024,Food,Need
hansung luncheon meat ,87.0,20/11/2024,Food,Want
bread,54.0,20/11/2024,Food,Need
nissin chicken,10.0,20/11/2024,Food,Want
birch milk 9+3,83.0,20/11/2024,Food,Want
nissin beef,10.0,20/11/2024,Food,Want
lunch,80.0,20/11/2024,Food,Need
nissin creamy seafood,13.0,20/11/2024,Food,Want
potato cake,20.0,20/11/2024,Food,Need
6+1 knorr cubes 10g,30.0,20/11/2024,Food,Want
2 sponges + 2 tide,70.0,20/11/2024,Hygiene,Need
eco bag,15.0,20/11/2024,Other,Want
toilet,5.0,19/11/2024,Hygiene,Need
bus,320.0,19/11/2024,Transpo,Need
meal + rice,110.0,19/11/2024,Food,Need
earphones,200.0,18/11/2024,Other,Want
shawarma rice,80.0,10/11/2024,Food,Want
chocolate bread,45.0,10/11/2024,Snack,Want
tempered glass,150.0,10/11/2024,Other,Want
earphones,250.0,10/11/2024,Other,Want
white sugar 500g,38.0,10/11/2024,Food,Want
7pc plastic container,109.0,10/11/2024,Food,Want
margarine 100g,31.0,10/11/2024,Food,Want
bread,50.0,10/11/2024,Food,Need
bgh to burnham,12.0,10/11/2024,Transpo,Want
burnham to bgh,13.0,10/11/2024,Transpo,Want
water,23.0,09/11/2024,Food,Need
savings,100.0,08/11/2024,Bill,Need
hanseung luncheon meat 340g,87.0,07/11/2024,Food,Need
12 eggs,125.0,07/11/2024,Food,Need
tisyu 2ply roll,12.0,07/11/2024,Hygiene,Need
3 meals,150.0,07/11/2024,Food,Need
10 quantum tokens,50.0,06/11/2024,Other,Want
lunch,120.0,06/11/2024,Food,Need
aonekon ticket,200.0,06/11/2024,Fun,Want
energen x10,82.0,06/11/2024,Food,Need
shawarma rice,100.0,06/11/2024,Food,Want
bgh > plaza,10.0,06/11/2024,Transpo,Want
plaza > bgh,20.0,06/11/2024,Transpo,Want
auntie annes chocolate chip cream cheese,130.0,06/11/2024,Snack,Want
lunch,80.0,05/11/2024,Food,Need
lugaw,50.0,04/11/2024,Food,Need
rent,7000.0,04/11/2024,Bill,Need
rice and lettuce,150.0,04/11/2024,Food,Need
2 meals,100.0,04/11/2024,Food,Need
laundry,250.0,04/11/2024,Hygiene,Need
mang inasal,209.0,29/10/2024,Food,Want
dagupan > bolinao,160.0,22/10/2024,Transpo,Need
baguio > dagupan,160.0,22/10/2024,Transpo,Need
tricycle to balingasay,100.0,22/10/2024,Transpo,Need
2 meals,80.0,21/10/2024,Food,Need
lunch,85.0,21/10/2024,Food,Need
coriander,44.0,21/10/2024,Food,Want
burnham to bgh,12.0,20/10/2024,Transpo,Want
choco bread,45.0,20/10/2024,Snack,Want
bread,49.0,20/10/2024,Food,Want
bgh to burnham,13.0,20/10/2024,Transpo,Want
mayo,36.0,20/10/2024,Food,Want
ham spread,34.0,20/10/2024,Food,Want
burnham bathroom,7.0,20/10/2024,Hygiene,Want
dishwashing soap,69.0,20/10/2024,Hygiene,Need
savings dump,160.0,19/10/2024,Bill,Need
shawarma rice overload,100.0,18/10/2024,Food,Want
water refill,23.0,18/10/2024,Food,Need
to burnham,13.0,18/10/2024,Transpo,Want
rice 1kg,64.0,17/10/2024,Food,Need
tissue 2roll,12.0,17/10/2024,Hygiene,Want
fried garlic 50g,15.0,17/10/2024,Food,Want
hanseung luncheon meat 340g,87.0,17/10/2024,Food,Need
cassava,20.0,17/10/2024,Snack,Want
cooking oil,30.0,17/10/2024,Food,Need
1 cabbage head,15.0,17/10/2024,Food,Need
to bgh,13.0,17/10/2024,Transpo,Want
bread,55.0,17/10/2024,Food,Want
to plaza,16.0,17/10/2024,Transpo,Want
waffle,30.0,17/10/2024,Snack,Want
3 carrots,26.0,17/10/2024,Food,Need
2 egg,20.0,17/10/2024,Food,Need
lunch,90.0,16/10/2024,Food,Need
bread,10.0,16/10/2024,Snack,Want
jeep,10.0,16/10/2024,Transpo,Want
youtube premium,189.0,16/10/2024,Bill,Need
google,89.0,16/10/2024,Bill,Need
,,16/10/2024,,
laundry,200.0,16/10/2024,Hygiene,Need
lunch and water,90.0,15/10/2024,Food,Need
shawarma rice,100.0,15/10/2024,Snack,Want
bathroom,7.0,15/10/2024,Hygiene,Want
lunch and energen,280.0,14/10/2024,Food,Need
empanada,75.0,14/10/2024,Snack,Want
pares,100.0,13/10/2024,Food,Need
bus + burger,395.0,13/10/2024,Transpo,Need
taxi,100.0,10/10/2024,Transpo,Want
laundry,250.0,10/10/2024,Hygiene,Need
bus,145.0,10/10/2024,Transpo,Need
bananas,60.0,10/10/2024,Food,Want
tricycle,100.0,10/10/2024,Transpo,Need
shawarma,100.0,10/10/2024,Snack,Want
taxi,100.0,09/10/2024,Transpo,Want
bgh fair,350.0,09/10/2024,Fun,Want
jeep,20.0,09/10/2024,Transpo,Want
pares and lunch ,180.0,08/10/2024,Food,Need
mask,50.0,08/10/2024,Hygiene,Want
burger,80.0,07/10/2024,Food,Want
bus,316.0,07/10/2024,Transpo,Need
soju,115.0,03/10/2024,Snack,Want
veggies and coming home lol,1200.0,03/10/2024,Food,Want
lunch,100.0,02/10/2024,Food,Need
lunch,80.0,01/10/2024,Food,Need
dinner and snack,105.0,01/10/2024,Food,Need
laundry,250.0,01/10/2024,Hygiene,Need
water,50.0,01/10/2024,Food,Need
google,89.0,01/10/2024,Bill,Need
youtube premium,189.0,30/09/2024,Bill,Need
load,300.0,29/09/2024,Other,Need
water + tissue,125.0,29/09/2024,Food,Need
buko juice,25.0,27/09/2024,Snack,Want
lunch,90.0,27/09/2024,Food,Need
spoon,1.0,27/09/2024,Other,Want
rent,7500.0,27/09/2024,Bill,Need
pads,50.0,27/09/2024,Hygiene,Need
piattos large,45.0,25/09/2024,Snack,Want
tumbler lid and boot (shoppee),136.0,25/09/2024,Other,Want
"water, tissue, dish soap",130.0,25/09/2024,Other,Need
lunch,80.0,24/09/2024,Food,Need
laundry,252.0,23/09/2024,Hygiene,Need
food,95.0,23/09/2024,Food,Need
lunch,75.0,31/08/2024,Food,Need
grocer,264.0,31/08/2024,Food,Need
load,100.0,31/08/2024,Other,Need
breakfast,100.0,31/08/2024,Food,Need
session road moment,1000.0,31/08/2024,Other,Want
ughhhh more groceries + laundry,1000.0,31/08/2024,Food,Need
ukay hunt,1000.0,31/08/2024,Other,Want
today,600.0,31/08/2024,Other,Need
trip back home,700.0,31/08/2024,Transpo,Need
water,105.0,31/08/2024,Food,Need
transportation,741.0,30/08/2024,Transpo,Need
cooker,1000.0,30/08/2024,Food,Need
rent,7000.0,30/08/2024,Bill,Need
ytp + google,250.0,30/08/2024,Bill,Need
